t,y1,y2
0.887,0.769742,0.321917
0.888,0.77108,0.322721
0.889,0.772417,0.323526
0.89,0.773755,0.324332
0.891,0.775093,0.325139
0.892,0.776431,0.325947
0.893,0.77777,0.326755
0.894,0.779108,0.327565
0.895,0.780448,0.328375
0.896,0.781787,0.329186
0.897,0.783127,0.329998
0.898,0.784467,0.330811
0.899,0.785807,0.331625
0.9,0.787148,0.33244
0.901,0.788489,0.333255
0.902,0.78983,0.334071
0.903,0.791171,0.334889
0.904,0.792513,0.335707
0.905,0.793855,0.336525
0.906,0.795197,0.337345
0.907,0.79654,0.338166
0.908,0.797882,0.338987
0.909,0.799225,0.339809
0.91,0.800569,0.340633
0.911,0.801912,0.341457
0.912,0.803256,0.342281
0.913,0.8046,0.343107
0.914,0.805945,0.343934
0.915,0.807289,0.344761
0.916,0.808634,0.345589
0.917,0.809979,0.346418
0.918,0.811324,0.347248
0.919,0.81267,0.348079
0.92,0.814016,0.34891
0.921,0.815362,0.349743
0.922,0.816708,0.350576
0.923,0.818054,0.35141
0.924,0.819401,0.352245
0.925,0.820748,0.353081
0.926,0.822095,0.353917
0.927,0.823443,0.354755
0.928,0.82479,0.355593
0.929,0.826138,0.356432
0.93,0.827486,0.357272
0.931,0.828835,0.358113
0.932,0.830183,0.358954
0.933,0.831532,0.359797
0.934,0.832881,0.36064
0.935,0.83423,0.361484
0.936,0.835579,0.362329
0.937,0.836929,0.363175
